Reference,Verses,Words,Wd/Vs,Time (150 WPM),Time (200 WPM),Time (250 WPM)
Genesis 1,31,791,25.5,5m 16s,3m 57s,3m 9s
Genesis 2,25,639,25.6,4m 15s,3m 11s,2m 33s
Genesis 3,24,683,28.5,4m 33s,3m 24s,2m 43s
Genesis 4,26,594,22.8,3m 57s,2m 58s,2m 22s
Genesis 5,32,427,13.3,2m 50s,2m 8s,1m 42s
Genesis 6,22,531,24.1,3m 32s,2m 39s,2m 7s
Genesis 7,24,543,22.6,3m 37s,2m 42s,2m 10s
Genesis 8,22,549,25.0,3m 39s,2m 44s,2m 11s
Genesis 9,29,619,21.3,4m 7s,3m 5s,2m 28s
Genesis 10,32,427,13.3,2m 50s,2m 8s,1m 42s
Genesis 11,32,573,17.9,3m 49s,2m 51s,2m 17s
Genesis 12,20,502,25.1,3m 20s,2m 30s,2m 0s
Genesis 13,18,427,23.7,2m 50s,2m 8s,1m 42s
Genesis 14,24,581,24.2,3m 52s,2m 54s,2m 19s
Genesis 15,21,445,21.2,2m 58s,2m 13s,1m 46s
Genesis 16,16,402,25.1,2m 40s,2m 0s,1m 36s
Genesis 17,27,652,24.1,4m 20s,3m 15s,2m 36s
Genesis 18,33,826,25.0,5m 30s,4m 7s,3m 18s
Genesis 19,38,1024,26.9,6m 49s,5m 7s,4m 5s
Genesis 20,18,495,27.5,3m 18s,2m 28s,1m 58s
Genesis 21,34,757,22.3,5m 2s,3m 47s,3m 1s
Genesis 22,24,584,24.3,3m 53s,2m 55s,2m 20s
Genesis 23,20,489,24.4,3m 15s,2m 26s,1m 57s
Genesis 24,67,1728,25.8,11m 31s,8m 38s,6m 54s
Genesis 25,34,630,18.5,4m 12s,3m 9s,2m 31s
Genesis 26,35,839,24.0,5m 35s,4m 11s,3m 21s
Genesis 27,46,1196,26.0,7m 58s,5m 58s,4m 47s
Genesis 28,22,598,27.2,3m 59s,2m 59s,2m 23s
Genesis 29,35,803,22.9,5m 21s,4m 0s,3m 12s
Genesis 30,43,978,22.7,6m 31s,4m 53s,3m 54s
Genesis 31,55,1372,24.9,9m 8s,6m 51s,5m 29s
Genesis 32,32,773,24.2,5m 9s,3m 51s,3m 5s
Genesis 33,20,490,24.5,3m 16s,2m 27s,1m 57s
Genesis 34,31,762,24.6,5m 4s,3m 48s,3m 2s
Genesis 35,29,630,21.7,4m 12s,3m 9s,2m 31s
Genesis 36,43,769,17.9,5m 7s,3m 50s,3m 4s
Genesis 37,36,898,24.9,5m 59s,4m 29s,3m 35s
Genesis 38,30,771,25.7,5m 8s,3m 51s,3m 5s
Genesis 39,23,631,27.4,4m 12s,3m 9s,2m 31s
Genesis 40,23,518,22.5,3m 27s,2m 35s,2m 4s
Genesis 41,57,1313,23.0,8m 45s,6m 33s,5m 15s
Genesis 42,38,984,25.9,6m 33s,4m 55s,3m 56s
Genesis 43,34,911,26.8,6m 4s,4m 33s,3m 38s
Genesis 44,34,857,25.2,5m 42s,4m 17s,3m 25s
Genesis 45,28,714,25.5,4m 45s,3m 34s,2m 51s
Genesis 46,34,711,20.9,4m 44s,3m 33s,2m 50s
Genesis 47,31,942,30.4,6m 16s,4m 42s,3m 46s
Genesis 48,22,632,28.7,4m 12s,3m 9s,2m 31s
Genesis 49,33,721,21.8,4m 48s,3m 36s,2m 53s
Genesis 50,26,666,25.6,4m 26s,3m 19s,2m 39s
Exodus 1,22,413,18.8,2m 45s,2m 3s,1m 39s
Exodus 2,25,613,24.5,4m 5s,3m 3s,2m 27s
Exodus 3,22,734,33.4,4m 53s,3m 40s,2m 56s
Exodus 4,31,833,26.9,5m 33s,4m 9s,3m 19s
Exodus 5,23,592,25.7,3m 56s,2m 57s,2m 22s
Exodus 6,30,689,23.0,4m 35s,3m 26s,2m 45s
Exodus 7,25,659,26.4,4m 23s,3m 17s,2m 38s
Exodus 8,32,909,28.4,6m 3s,4m 32s,3m 38s
Exodus 9,35,969,27.7,6m 27s,4m 50s,3m 52s
Exodus 10,29,861,29.7,5m 44s,4m 18s,3m 26s
Exodus 11,10,307,30.7,2m 2s,1m 32s,1m 13s
Exodus 12,51,1387,27.2,9m 14s,6m 56s,5m 32s
Exodus 13,22,646,29.4,4m 18s,3m 13s,2m 35s
Exodus 14,31,861,27.8,5m 44s,4m 18s,3m 26s
Exodus 15,27,665,24.6,4m 26s,3m 19s,2m 39s
Exodus 16,36,994,27.6,6m 37s,4m 58s,3m 58s
Exodus 17,16,452,28.2,3m 0s,2m 15s,1m 48s
Exodus 18,27,698,25.9,4m 39s,3m 29s,2m 47s
Exodus 19,25,667,26.7,4m 26s,3m 20s,2m 40s
Exodus 20,26,573,22.0,3m 49s,2m 51s,2m 17s
Exodus 21,36,861,23.9,5m 44s,4m 18s,3m 26s
Exodus 22,31,776,25.0,5m 10s,3m 52s,3m 6s
Exodus 23,33,840,25.5,5m 36s,4m 12s,3m 21s
Exodus 24,18,479,26.6,3m 11s,2m 23s,1m 54s
Exodus 25,40,875,21.9,5m 50s,4m 22s,3m 30s
Exodus 26,37,890,24.1,5m 56s,4m 27s,3m 33s
Exodus 27,21,549,26.1,3m 39s,2m 44s,2m 11s
Exodus 28,43,1105,25.7,7m 22s,5m 31s,4m 25s
Exodus 29,46,1273,27.7,8m 29s,6m 21s,5m 5s
Exodus 30,38,898,23.6,5m 59s,4m 29s,3m 35s
Exodus 31,18,406,22.6,2m 42s,2m 1s,1m 37s
Exodus 32,35,1062,30.3,7m 4s,5m 18s,4m 14s
Exodus 33,23,680,29.6,4m 32s,3m 24s,2m 43s
Exodus 34,35,977,27.9,6m 30s,4m 53s,3m 54s
Exodus 35,35,765,21.9,5m 6s,3m 49s,3m 3s
Exodus 36,38,835,22.0,5m 34s,4m 10s,3m 20s
Exodus 37,29,667,23.0,4m 26s,3m 20s,2m 40s
Exodus 38,31,779,25.1,5m 11s,3m 53s,3m 6s
Exodus 39,43,991,23.0,6m 36s,4m 57s,3m 57s
Exodus 40,38,775,20.4,5m 10s,3m 52s,3m 6s
Leviticus 1,17,486,28.6,3m 14s,2m 25s,1m 56s
Leviticus 2,16,446,27.9,2m 58s,2m 13s,1m 47s
Leviticus 3,17,477,28.1,3m 10s,2m 23s,1m 54s
Leviticus 4,35,1115,31.9,7m 26s,5m 34s,4m 27s
Leviticus 5,19,690,36.3,4m 36s,3m 27s,2m 45s
Leviticus 6,30,830,27.7,5m 32s,4m 9s,3m 19s
Leviticus 7,38,964,25.4,6m 25s,4m 49s,3m 51s
Leviticus 8,36,987,27.4,6m 34s,4m 56s,3m 56s
Leviticus 9,24,621,25.9,4m 8s,3m 6s,2m 29s
Leviticus 10,20,622,31.1,4m 8s,3m 6s,2m 29s
Leviticus 11,47,1035,22.0,6m 54s,5m 10s,4m 8s
Leviticus 12,8,245,30.6,1m 38s,1m 13s,0m 58s
Leviticus 13,59,1766,29.9,11m 46s,8m 49s,7m 3s
Leviticus 14,57,1631,28.6,10m 52s,8m 9s,6m 31s
Leviticus 15,33,897,27.2,5m 58s,4m 29s,3m 35s
Leviticus 16,34,1121,33.0,7m 28s,5m 36s,4m 29s
Leviticus 17,16,526,32.9,3m 30s,2m 37s,2m 6s
Leviticus 18,30,648,21.6,4m 19s,3m 14s,2m 35s
Leviticus 19,37,909,24.6,6m 3s,4m 32s,3m 38s
Leviticus 20,27,791,29.3,5m 16s,3m 57s,3m 9s
Leviticus 21,24,571,23.8,3m 48s,2m 51s,2m 17s
Leviticus 22,33,862,26.1,5m 44s,4m 18s,3m 26s
Leviticus 23,44,1205,27.4,8m 2s,6m 1s,4m 49s
Leviticus 24,23,508,22.1,3m 23s,2m 32s,2m 1s
Leviticus 25,55,1430,26.0,9m 32s,7m 9s,5m 43s
Leviticus 26,46,1217,26.5,8m 6s,6m 5s,4m 52s
Leviticus 27,34,893,26.3,5m 57s,4m 27s,3m 34s
Numbers 1,54,1094,20.3,7m 17s,5m 28s,4m 22s
Numbers 2,34,590,17.4,3m 56s,2m 57s,2m 21s
Numbers 3,51,1162,22.8,7m 44s,5m 48s,4m 38s
Numbers 4,49,1281,26.1,8m 32s,6m 24s,5m 7s
Numbers 5,31,905,29.2,6m 2s,4m 31s,3m 37s
Numbers 6,27,731,27.1,4m 52s,3m 39s,2m 55s
Numbers 7,89,1871,21.0,12m 28s,9m 21s,7m 29s
Numbers 8,26,684,26.3,4m 33s,3m 25s,2m 44s
Numbers 9,23,677,29.4,4m 30s,3m 23s,2m 42s
Numbers 10,36,851,23.6,5m 40s,4m 15s,3m 24s
Numbers 11,35,1019,29.1,6m 47s,5m 5s,4m 4s
Numbers 12,16,365,22.8,2m 26s,1m 49s,1m 27s
Numbers 13,33,722,21.9,4m 48s,3m 36s,2m 53s
Numbers 14,45,1183,26.3,7m 53s,5m 54s,4m 43s
Numbers 15,41,1014,24.7,6m 45s,5m 4s,4m 3s
Numbers 16,50,1285,25.7,8m 34s,6m 25s,5m 8s
Numbers 17,13,309,23.8,2m 3s,1m 32s,1m 14s
Numbers 18,32,1044,32.6,6m 57s,5m 13s,4m 10s
Numbers 19,22,670,30.5,4m 28s,3m 21s,2m 40s
Numbers 20,29,768,26.5,5m 7s,3m 50s,3m 4s
Numbers 21,35,899,25.7,5m 59s,4m 29s,3m 35s
