Section,Books,Chapters,Verses,Words,Ch/Book,Vs/Book,Wd/Book,Vs/Ch,Wd/Ch,Wd/Vs,Time (150 WPM),Time (200 WPM),Time (250 WPM)
Bible,66,1189,31074,759484,18.0,470.8,11507,26.1,638.8,24.4,84hr 23m,63hr 17m,50hr 37m
Old Testament,39,929,23145,582470,23.8,593.5,14935,24.9,627.0,25.2,64hr 43m,48hr 32m,38hr 49m
New Testament,27,260,7929,177014,9.6,293.7,6556,30.5,680.8,22.3,19hr 40m,14hr 45m,11hr 48m
Pentateuch,5,187,5852,149556,37.4,1170.4,29911,31.3,799.8,25.6,16hr 37m,12hr 27m,9hr 58m
History,12,249,7018,194852,20.8,584.8,16238,28.2,782.5,27.8,21hr 39m,16hr 14m,12hr 59m
Poetry,5,243,4785,81404,48.6,957.0,16281,19.7,335.0,17.0,9hr 2m,6hr 47m,5hr 25m
Major Prophets,5,183,4440,127763,36.6,888.0,25553,24.3,698.2,28.8,14hr 11m,10hr 38m,8hr 31m
Minor Prophets,12,67,1050,28895,5.6,87.5,2408,15.7,431.3,27.5,3hr 12m,2hr 24m,1hr 55m
Gospels,4,89,3755,81466,22.2,938.8,20366,42.2,915.3,21.7,9hr 3m,6hr 47m,5hr 25m
History (Acts),1,28,1003,23633,28.0,1003.0,23633,35.8,844.0,23.6,2hr 37m,1hr 58m,1hr 34m
Pauline Epistles,13,87,2032,43447,6.7,156.3,3342,23.4,499.4,21.4,4hr 49m,3hr 37m,2hr 53m
General Epistles,8,34,735,16942,4.2,91.9,2118,21.6,498.3,23.1,1hr 52m,1hr 24m,1hr 7m
Apocalypse (Revelation),1,22,404,11526,22.0,404.0,11526,18.4,523.9,28.5,1hr 16m,57m 37s,46m 6s
