book,chapter,verse,word_count
Genesis,1,1,10
Genesis,1,2,29
Genesis,1,3,11
Genesis,1,4,16
Genesis,1,5,22
Genesis,1,6,23
Genesis,1,7,26
Genesis,1,8,17
Genesis,1,9,25
Genesis,1,10,23
Genesis,1,11,33
Genesis,1,12,34
Genesis,1,13,11
Genesis,1,14,34
Genesis,1,15,21
Genesis,1,16,23
Genesis,1,17,16
Genesis,1,18,24
Genesis,1,19,11
Genesis,1,20,25
Genesis,1,21,37
Genesis,1,22,23
Genesis,1,23,11
Genesis,1,24,30
Genesis,1,25,37
Genesis,1,26,50
Genesis,1,27,22
Genesis,1,28,46
Genesis,1,29,35
Genesis,1,30,41
Genesis,1,31,25
Genesis,2,1,14
Genesis,2,2,28
Genesis,2,3,30
Genesis,2,4,27
Genesis,2,5,43
Genesis,2,6,18
Genesis,2,7,28
Genesis,2,8,22
Genesis,2,9,45
Genesis,2,10,18
Genesis,2,11,24
Genesis,2,12,14
Genesis,2,13,21
Genesis,2,14,22
Genesis,2,15,20
Genesis,2,16,18
Genesis,2,17,28
Genesis,2,18,24
Genesis,2,19,46
Genesis,2,20,33
Genesis,2,21,29
Genesis,2,22,23
Genesis,2,23,29
Genesis,2,24,22
Genesis,2,25,13
Genesis,3,1,38
Genesis,3,2,19
Genesis,3,3,29
Genesis,3,4,12
Genesis,3,5,24
Genesis,3,6,55
Genesis,3,7,24
Genesis,3,8,40
Genesis,3,9,15
Genesis,3,10,24
Genesis,3,11,23
Genesis,3,12,22
Genesis,3,13,25
Genesis,3,14,42
Genesis,3,15,27
Genesis,3,16,34
Genesis,3,17,52
Genesis,3,18,18
Genesis,3,19,33
Genesis,3,20,15
Genesis,3,21,17
Genesis,3,22,39
Genesis,3,23,21
Genesis,3,24,35
Genesis,4,1,24
Genesis,4,2,21
Genesis,4,3,18
Genesis,4,4,25
Genesis,4,5,19
Genesis,4,6,15
Genesis,4,7,34
Genesis,4,8,23
Genesis,4,9,22
Genesis,4,10,21
Genesis,4,11,21
Genesis,4,12,25
Genesis,4,13,13
Genesis,4,14,36
Genesis,4,15,35
Genesis,4,16,20
Genesis,4,17,29
Genesis,4,18,17
Genesis,4,19,19
Genesis,4,20,16
Genesis,4,21,18
Genesis,4,22,21
Genesis,4,23,34
Genesis,4,24,9
Genesis,4,25,33
Genesis,4,26,26
Genesis,5,1,21
Genesis,5,2,18
Genesis,5,3,21
Genesis,5,4,18
Genesis,5,5,13
Genesis,5,6,9
Genesis,5,7,14
Genesis,5,8,12
Genesis,5,9,9
Genesis,5,10,14
Genesis,5,11,12
Genesis,5,12,9
Genesis,5,13,14
Genesis,5,14,12
Genesis,5,15,9
Genesis,5,16,14
Genesis,5,17,12
Genesis,5,18,9
Genesis,5,19,14
Genesis,5,20,12
Genesis,5,21,9
Genesis,5,22,16
Genesis,5,23,9
Genesis,5,24,12
Genesis,5,25,9
Genesis,5,26,14
Genesis,5,27,12
Genesis,5,28,10
Genesis,5,29,32
Genesis,5,30,14
Genesis,5,31,12
Genesis,5,32,12
Genesis,6,1,17
Genesis,6,2,21
Genesis,6,3,22
Genesis,6,4,43
Genesis,6,5,27
Genesis,6,6,19
Genesis,6,7,39
Genesis,6,8,10
Genesis,6,9,19
Genesis,6,10,9
Genesis,6,11,15
Genesis,6,12,20
Genesis,6,13,32
Genesis,6,14,20
Genesis,6,15,24
Genesis,6,16,31
Genesis,6,17,33
Genesis,6,18,26
Genesis,6,19,30
Genesis,6,20,39
Genesis,6,21,25
Genesis,6,22,10
Genesis,7,1,28
Genesis,7,2,29
Genesis,7,3,25
Genesis,7,4,34
Genesis,7,5,10
Genesis,7,6,15
Genesis,7,7,25
Genesis,7,8,21
Genesis,7,9,17
Genesis,7,10,13
Genesis,7,11,39
Genesis,7,12,11
Genesis,7,13,29
Genesis,7,14,39
Genesis,7,15,21
Genesis,7,16,23
Genesis,7,17,23
Genesis,7,18,19
Genesis,7,19,20
Genesis,7,20,11
Genesis,7,21,23
Genesis,7,22,14
Genesis,7,23,45
Genesis,7,24,9
Genesis,8,1,32
Genesis,8,2,20
Genesis,8,3,18
Genesis,8,4,22
Genesis,8,5,28
Genesis,8,6,17
Genesis,8,7,19
Genesis,8,8,21
Genesis,8,9,47
Genesis,8,10,16
Genesis,8,11,32
Genesis,8,12,19
Genesis,8,13,44
Genesis,8,14,16
Genesis,8,15,5
Genesis,8,16,18
Genesis,8,17,39
Genesis,8,18,16
Genesis,8,19,24
Genesis,8,20,28
Genesis,8,21,49
Genesis,8,22,19
Genesis,9,1,19
Genesis,9,2,44
Genesis,9,3,22
Genesis,9,4,13
Genesis,9,5,33
Genesis,9,6,21
Genesis,9,7,15
Genesis,9,8,11
Genesis,9,9,12
Genesis,9,10,37
Genesis,9,11,33
Genesis,9,12,29
Genesis,9,13,22
Genesis,9,14,15
Genesis,9,15,31
Genesis,9,16,30
Genesis,9,17,26
Genesis,9,18,21
Genesis,9,19,18
Genesis,9,20,14
Genesis,9,21,14
Genesis,9,22,18
Genesis,9,23,36
Genesis,9,24,16
Genesis,9,25,15
Genesis,9,26,17
Genesis,9,27,19
Genesis,9,28,7
Genesis,9,29,11
Genesis,10,1,21
Genesis,10,2,12
Genesis,10,3,8
Genesis,10,4,9
Genesis,10,5,20
Genesis,10,6,9
Genesis,10,7,17
Genesis,10,8,14
Genesis,10,9,20
Genesis,10,10,16
Genesis,10,11,13
Genesis,10,12,10
Genesis,10,13,6
Genesis,10,14,9
Genesis,10,15,7
Genesis,10,16,7
Genesis,10,17,6
Genesis,10,18,14
Genesis,10,19,32
Genesis,10,20,16
Genesis,10,21,19
Genesis,10,22,10
Genesis,10,23,9
Genesis,10,24,7
Genesis,10,25,27
Genesis,10,26,6
Genesis,10,27,3
Genesis,10,28,3
Genesis,10,29,11
Genesis,10,30,21
Genesis,10,31,16
Genesis,10,32,29
Genesis,11,1,11
Genesis,11,2,19
Genesis,11,3,25
Genesis,11,4,38
Genesis,11,5,19
Genesis,11,6,39
Genesis,11,7,19
Genesis,11,8,21
Genesis,11,9,32
Genesis,11,10,20
Genesis,11,11,15
Genesis,11,12,9
Genesis,11,13,15
Genesis,11,14,9
Genesis,11,15,15
Genesis,11,16,9
Genesis,11,17,15
Genesis,11,18,9
Genesis,11,19,15
Genesis,11,20,9
Genesis,11,21,15
Genesis,11,22,9
Genesis,11,23,15
Genesis,11,24,9
Genesis,11,25,15
Genesis,11,26,13
Genesis,11,27,17
Genesis,11,28,20
Genesis,11,29,30
Genesis,11,30,8
Genesis,11,31,47
Genesis,11,32,12
Genesis,12,1,25
Genesis,12,2,26
Genesis,12,3,27
Genesis,12,4,24
Genesis,12,5,47
Genesis,12,6,24
Genesis,12,7,30
Genesis,12,8,44
Genesis,12,9,13
Genesis,12,10,25
Genesis,12,11,23
Genesis,12,12,24
Genesis,12,13,25
Genesis,12,14,13
Genesis,12,15,21
Genesis,12,16,24
Genesis,12,17,16
Genesis,12,18,25
Genesis,12,19,26
Genesis,12,20,20
Genesis,13,1,22
Genesis,13,2,12
Genesis,13,3,26
Genesis,13,4,22
Genesis,13,5,13
Genesis,13,6,24
Genesis,13,7,29
Genesis,13,8,25
Genesis,13,9,38
Genesis,13,10,41
Genesis,13,11,19
Genesis,13,12,24
Genesis,13,13,12
Genesis,13,14,30
Genesis,13,15,17
Genesis,13,16,28
Genesis,13,17,18
Genesis,13,18,27
Genesis,14,1,21
Genesis,14,2,29
Genesis,14,3,15
Genesis,14,4,13
Genesis,14,5,27
Genesis,14,6,19
Genesis,14,7,28
Genesis,14,8,36
Genesis,14,9,22
Genesis,14,10,31
Genesis,14,11,19
Genesis,14,12,21
Genesis,14,13,32
Genesis,14,14,31
Genesis,14,15,24
Genesis,14,16,26
Genesis,14,17,34
Genesis,14,18,17
Genesis,14,19,18
Genesis,14,20,22
Genesis,14,21,18
Genesis,14,22,24
Genesis,14,23,25
Genesis,14,24,29
Genesis,15,1,27
Genesis,15,2,25
Genesis,15,3,20
Genesis,15,4,25
Genesis,15,5,31
Genesis,15,6,13
Genesis,15,7,25
Genesis,15,8,16
Genesis,15,9,28
Genesis,15,10,27
Genesis,15,11,14
Genesis,15,12,21
Genesis,15,13,36
Genesis,15,14,20
Genesis,15,15,20
Genesis,15,16,20
Genesis,15,17,23
Genesis,15,18,30
Genesis,15,19,9
Genesis,15,20,6
Genesis,15,21,9
Genesis,16,1,19
Genesis,16,2,38
Genesis,16,3,31
Genesis,16,4,24
Genesis,16,5,43
Genesis,16,6,29
Genesis,16,7,22
Genesis,16,8,26
Genesis,16,9,16
Genesis,16,10,23
Genesis,16,11,32
Genesis,16,12,27
Genesis,16,13,31
Genesis,16,14,12
Genesis,16,15,18
Genesis,16,16,11
Genesis,17,1,25
Genesis,17,2,15
