Book,Chapters,Verses,Words,Vs/Ch,Wd/Ch,Wd/Vs,Time (150 WPM),Time (200 WPM),Time (250 WPM)
Genesis,50,1533,36397,30.7,727.9,23.7,4hr 2m,3hr 1m,2hr 25m
Exodus,40,1213,31005,30.3,775.1,25.6,3hr 26m,2hr 35m,2hr 4m
Leviticus,27,859,23493,31.8,870.1,27.3,2hr 36m,1hr 57m,1hr 33m
Numbers,36,1288,31043,35.8,862.3,24.1,3hr 26m,2hr 35m,2hr 4m
Deuteronomy,34,959,27618,28.2,812.3,28.8,3hr 4m,2hr 18m,1hr 50m
Joshua,24,658,17993,27.4,749.7,27.3,1hr 59m,1hr 29m,1hr 11m
Judges,21,618,18312,29.4,872.0,29.6,2hr 2m,1hr 31m,1hr 13m
Ruth,4,85,2437,21.2,609.2,28.7,16m 14s,12m 11s,9m 44s
1 Samuel,31,810,24168,26.1,779.6,29.8,2hr 41m,2hr 0m,1hr 36m
2 Samuel,24,695,19795,29.0,824.8,28.5,2hr 11m,1hr 38m,1hr 19m
1 Kings,22,816,23520,37.1,1069.1,28.8,2hr 36m,1hr 57m,1hr 34m
2 Kings,25,719,22912,28.8,916.5,31.9,2hr 32m,1hr 54m,1hr 31m
1 Chronicles,29,942,18580,32.5,640.7,19.7,2hr 3m,1hr 32m,1hr 14m
2 Chronicles,36,822,24856,22.8,690.4,30.2,2hr 45m,2hr 4m,1hr 39m
Ezra,10,280,6921,28.0,692.1,24.7,46m 8s,34m 36s,27m 41s
Nehemiah,13,406,9874,31.2,759.5,24.3,1hr 5m,49m 22s,39m 29s
Esther,10,167,5484,16.7,548.4,32.8,36m 33s,27m 25s,21m 56s
Job,42,1070,17627,25.5,419.7,16.5,1hr 57m,1hr 28m,1hr 10m
Psalms,150,2461,41273,16.4,275.2,16.8,4hr 35m,3hr 26m,2hr 45m
Proverbs,31,915,14552,29.5,469.4,15.9,1hr 37m,1hr 12m,58m 12s
Ecclesiastes,12,222,5376,18.5,448.0,24.2,35m 50s,26m 52s,21m 30s
Song of Solomon,8,117,2576,14.6,322.0,22.0,17m 10s,12m 52s,10m 18s
Isaiah,66,1292,35385,19.6,536.1,27.4,3hr 55m,2hr 56m,2hr 21m
Jeremiah,52,1364,40544,26.2,779.7,29.7,4hr 30m,3hr 22m,2hr 42m
Lamentations,5,154,3253,30.8,650.6,21.1,21m 41s,16m 15s,13m 0s
Ezekiel,48,1273,37309,26.5,777.3,29.3,4hr 8m,3hr 6m,2hr 29m
Daniel,12,357,11272,29.8,939.3,31.6,1hr 15m,56m 21s,45m 5s
Hosea,14,197,4976,14.1,355.4,25.3,33m 10s,24m 52s,19m 54s
Joel,3,73,1917,24.3,639.0,26.3,12m 46s,9m 35s,7m 40s
Amos,9,146,4067,16.2,451.9,27.9,27m 6s,20m 20s,16m 16s
Obadiah,1,21,614,21.0,614.0,29.2,4m 5s,3m 4s,2m 27s
Jonah,4,48,1312,12.0,328.0,27.3,8m 44s,6m 33s,5m 14s
Micah,7,105,3022,15.0,431.7,28.8,20m 8s,15m 6s,12m 5s
Nahum,3,47,1111,15.7,370.3,23.6,7m 24s,5m 33s,4m 26s
Habakkuk,3,56,1373,18.7,457.7,24.5,9m 9s,6m 51s,5m 29s
