Book,Chapters,Verses,Words,Vs/Ch,Wd/Ch,Wd/Vs,Time (150 WPM),Time (200 WPM),Time (250 WPM)
Genesis,50,1533,38262,30.7,765.2,25.0,4hr 15m,3hr 11m,2hr 33m
Exodus,40,1213,32686,30.3,817.2,26.9,3hr 37m,2hr 43m,2hr 10m
Leviticus,27,859,24541,31.8,908.9,28.6,2hr 43m,2hr 2m,1hr 38m
Numbers,36,1288,32896,35.8,913.8,25.5,3hr 39m,2hr 44m,2hr 11m
Deuteronomy,34,959,28352,28.2,833.9,29.6,3hr 9m,2hr 21m,1hr 53m
Joshua,24,658,18854,27.4,785.6,28.7,2hr 5m,1hr 34m,1hr 15m
Judges,21,618,18966,29.4,903.1,30.7,2hr 6m,1hr 34m,1hr 15m
Ruth,4,85,2574,21.2,643.5,30.3,17m 9s,12m 52s,10m 17s
1 Samuel,31,810,25048,26.1,808.0,30.9,2hr 46m,2hr 5m,1hr 40m
2 Samuel,24,695,20600,29.0,858.3,29.6,2hr 17m,1hr 43m,1hr 22m
1 Kings,22,816,24513,37.1,1114.2,30.0,2hr 43m,2hr 2m,1hr 38m
2 Kings,25,719,23517,28.8,940.7,32.7,2hr 36m,1hr 57m,1hr 34m
1 Chronicles,29,942,20365,32.5,702.2,21.6,2hr 15m,1hr 41m,1hr 21m
2 Chronicles,36,822,26069,22.8,724.1,31.7,2hr 53m,2hr 10m,1hr 44m
Ezra,10,280,7440,28.0,744.0,26.6,49m 36s,37m 12s,29m 45s
Nehemiah,13,406,10480,31.2,806.2,25.8,1hr 9m,52m 24s,41m 55s
Esther,10,167,5633,16.7,563.3,33.7,37m 33s,28m 9s,22m 31s
Job,42,1070,18098,25.5,430.9,16.9,2hr 0m,1hr 30m,1hr 12m
Psalms,150,2461,43738,16.4,291.6,17.8,4hr 51m,3hr 38m,2hr 54m
Proverbs,31,915,15038,29.5,485.1,16.4,1hr 40m,1hr 15m,1hr 0m
Ecclesiastes,12,222,5579,18.5,464.9,25.1,37m 11s,27m 53s,22m 18s
Song of Solomon,8,117,2658,14.6,332.2,22.7,17m 43s,13m 17s,10m 37s
Isaiah,66,1292,37036,19.6,561.2,28.7,4hr 6m,3hr 5m,2hr 28m
Jeremiah,52,1364,42654,26.2,820.3,31.3,4hr 44m,3hr 33m,2hr 50m
Lamentations,5,154,3411,30.8,682.2,22.1,22m 44s,17m 3s,13m 38s
Ezekiel,48,1273,39401,26.5,820.9,31.0,4hr 22m,3hr 17m,2hr 37m
Daniel,12,357,11602,29.8,966.8,32.5,1hr 17m,58m 0s,46m 24s
Hosea,14,197,5174,14.1,369.6,26.3,34m 29s,25m 52s,20m 41s
Joel,3,73,2033,24.3,677.7,27.8,13m 33s,10m 9s,8m 7s
Amos,9,146,4216,16.2,468.4,28.9,28m 6s,21m 4s,16m 51s
Obadiah,1,21,669,21.0,669.0,31.9,4m 27s,3m 20s,2m 40s
Jonah,4,48,1320,12.0,330.0,27.5,8m 48s,6m 36s,5m 16s
Micah,7,105,3152,15.0,450.3,30.0,21m 0s,15m 45s,12m 36s
Nahum,3,47,1284,15.7,428.0,27.3,8m 33s,6m 25s,5m 8s
Habakkuk,3,56,1475,18.7,491.7,26.3,9m 50s,7m 22s,5m 54s
Zephaniah,3,53,1616,17.7,538.7,30.5,10m 46s,8m 4s,6m 27s
Haggai,2,38,1130,19.0,565.0,29.7,7m 32s,5m 39s,4m 31s
Zechariah,14,211,6443,15.1,460.2,30.5,42m 57s,32m 12s,25m 46s
Malachi,4,55,1786,13.8,446.5,32.5,11m 54s,8m 55s,7m 8s
Matthew,28,1071,23684,38.2,845.9,22.1,2hr 37m,1hr 58m,1hr 34m
Mark,16,678,15166,42.4,947.9,22.4,1hr 41m,1hr 15m,1hr 0m
Luke,24,1151,25939,48.0,1080.8,22.5,2hr 52m,2hr 9m,1hr 43m
John,21,879,19094,41.9,909.2,21.7,2hr 7m,1hr 35m,1hr 16m
Acts,28,1007,24245,36.0,865.9,24.1,2hr 41m,2hr 1m,1hr 36m
