Reference,Verses,Words,Wd/Vs,Time (150 WPM),Time (200 WPM),Time (250 WPM)
Genesis 1,31,797,25.7,5m 18s,3m 59s,3m 11s
Genesis 2,25,632,25.3,4m 12s,3m 9s,2m 31s
Genesis 3,24,695,29.0,4m 38s,3m 28s,2m 46s
Genesis 4,26,632,24.3,4m 12s,3m 9s,2m 31s
Genesis 5,32,504,15.8,3m 21s,2m 31s,2m 0s
Genesis 6,22,579,26.3,3m 51s,2m 53s,2m 18s
Genesis 7,24,584,24.3,3m 53s,2m 55s,2m 20s
Genesis 8,22,586,26.6,3m 54s,2m 55s,2m 20s
Genesis 9,29,658,22.7,4m 23s,3m 17s,2m 37s
Genesis 10,32,495,15.5,3m 18s,2m 28s,1m 58s
Genesis 11,32,606,18.9,4m 2s,3m 1s,2m 25s
Genesis 12,20,536,26.8,3m 34s,2m 40s,2m 8s
Genesis 13,18,457,25.4,3m 2s,2m 17s,1m 49s
Genesis 14,24,606,25.2,4m 2s,3m 1s,2m 25s
Genesis 15,21,471,22.4,3m 8s,2m 21s,1m 53s
Genesis 16,16,412,25.8,2m 44s,2m 3s,1m 38s
Genesis 17,27,679,25.1,4m 31s,3m 23s,2m 42s
Genesis 18,33,867,26.3,5m 46s,4m 20s,3m 28s
Genesis 19,38,1108,29.2,7m 23s,5m 32s,4m 25s
Genesis 20,18,498,27.7,3m 19s,2m 29s,1m 59s
Genesis 21,34,774,22.8,5m 9s,3m 52s,3m 5s
Genesis 22,24,629,26.2,4m 11s,3m 8s,2m 30s
Genesis 23,20,539,27.0,3m 35s,2m 41s,2m 9s
Genesis 24,67,1816,27.1,12m 6s,9m 4s,7m 15s
Genesis 25,34,706,20.8,4m 42s,3m 31s,2m 49s
Genesis 26,35,889,25.4,5m 55s,4m 26s,3m 33s
Genesis 27,46,1262,27.4,8m 24s,6m 18s,5m 2s
Genesis 28,22,621,28.2,4m 8s,3m 6s,2m 29s
Genesis 29,35,830,23.7,5m 32s,4m 9s,3m 19s
Genesis 30,43,1022,23.8,6m 48s,5m 6s,4m 5s
Genesis 31,55,1417,25.8,9m 26s,7m 5s,5m 40s
Genesis 32,32,794,24.8,5m 17s,3m 58s,3m 10s
Genesis 33,20,508,25.4,3m 23s,2m 32s,2m 1s
Genesis 34,31,790,25.5,5m 16s,3m 57s,3m 9s
Genesis 35,29,664,22.9,4m 25s,3m 19s,2m 39s
Genesis 36,43,845,19.7,5m 38s,4m 13s,3m 22s
Genesis 37,36,942,26.2,6m 16s,4m 42s,3m 46s
Genesis 38,30,819,27.3,5m 27s,4m 5s,3m 16s
Genesis 39,23,666,29.0,4m 26s,3m 19s,2m 39s
Genesis 40,23,580,25.2,3m 52s,2m 54s,2m 19s
