Section,Books,Chapters,Verses,Words,Ch/Book,Vs/Book,Wd/Book,Vs/Ch,Wd/Ch,Wd/Vs,Time (150 WPM),Time (200 WPM),Time (250 WPM)
Bible,66,1189,31102,790879,18.0,471.2,11983,26.2,665.2,25.4,87hr 52m,65hr 54m,52hr 43m
Old Testament,39,929,23145,610309,23.8,593.5,15649,24.9,657.0,26.4,67hr 48m,50hr 51m,40hr 41m
New Testament,27,260,7957,180570,9.6,294.7,6688,30.6,694.5,22.7,20hr 3m,15hr 2m,12hr 2m
Pentateuch,5,187,5852,156737,37.4,1170.4,31347,31.3,838.2,26.8,17hr 24m,13hr 3m,10hr 26m
History,12,249,7018,204059,20.8,584.8,17005,28.2,819.5,29.1,22hr 40m,17hr 0m,13hr 36m
Poetry,5,243,4785,85111,48.6,957.0,17022,19.7,350.3,17.8,9hr 27m,7hr 5m,5hr 40m
Major Prophets,5,183,4440,134104,36.6,888.0,26821,24.3,732.8,30.2,14hr 54m,11hr 10m,8hr 56m
Minor Prophets,12,67,1050,30298,5.6,87.5,2525,15.7,452.2,28.9,3hr 21m,2hr 31m,2hr 1m
Gospels,4,89,3779,83883,22.2,944.8,20971,42.5,942.5,22.2,9hr 19m,6hr 59m,5hr 35m
History (Acts),1,28,1007,24245,28.0,1007.0,24245,36.0,865.9,24.1,2hr 41m,2hr 1m,1hr 36m
Pauline Epistles,13,87,2033,43490,6.7,156.4,3345,23.4,499.9,21.4,4hr 49m,3hr 37m,2hr 53m
General Epistles,8,34,734,16955,4.2,91.8,2119,21.6,498.7,23.1,1hr 53m,1hr 24m,1hr 7m
Apocalypse (Revelation),1,22,404,11997,22.0,404.0,11997,18.4,545.3,29.7,1hr 19m,59m 59s,47m 59s
