Reference,Words
Genesis 1:1,10
Genesis 1:2,29
Genesis 1:3,11
Genesis 1:4,17
Genesis 1:5,22
Genesis 1:6,23
Genesis 1:7,26
Genesis 1:8,16
Genesis 1:9,25
Genesis 1:10,24
Genesis 1:11,34
Genesis 1:12,33
Genesis 1:13,10
Genesis 1:14,34
Genesis 1:15,22
Genesis 1:16,26
Genesis 1:17,16
Genesis 1:18,25
Genesis 1:19,10
Genesis 1:20,29
Genesis 1:21,34
Genesis 1:22,23
Genesis 1:23,10
Genesis 1:24,30
Genesis 1:25,34
Genesis 1:26,50
Genesis 1:27,22
Genesis 1:28,46
Genesis 1:29,42
Genesis 1:30,39
Genesis 1:31,25
Genesis 2:1,14
Genesis 2:2,28
Genesis 2:3,25
Genesis 2:4,28
Genesis 2:5,44
Genesis 2:6,17
Genesis 2:7,27
Genesis 2:8,20
Genesis 2:9,43
Genesis 2:10,22
Genesis 2:11,21
Genesis 2:12,15
Genesis 2:13,20
Genesis 2:14,25
Genesis 2:15,22
Genesis 2:16,18
Genesis 2:17,29
Genesis 2:18,24
Genesis 2:19,44
Genesis 2:20,33
Genesis 2:21,29
Genesis 2:22,21
Genesis 2:23,27
Genesis 2:24,22
Genesis 2:25,14
Genesis 3:1,38
Genesis 3:2,19
Genesis 3:3,32
Genesis 3:4,12
Genesis 3:5,27
Genesis 3:6,51
Genesis 3:7,25
Genesis 3:8,39
Genesis 3:9,14
Genesis 3:10,22
Genesis 3:11,25
Genesis 3:12,23
Genesis 3:13,27
Genesis 3:14,43
Genesis 3:15,28
Genesis 3:16,35
Genesis 3:17,53
Genesis 3:18,19
Genesis 3:19,33
Genesis 3:20,15
Genesis 3:21,18
Genesis 3:22,41
Genesis 3:23,21
Genesis 3:24,35
Genesis 4:1,22
Genesis 4:2,22
Genesis 4:3,23
Genesis 4:4,27
Genesis 4:5,20
Genesis 4:6,16
Genesis 4:7,33
Genesis 4:8,29
Genesis 4:9,22
Genesis 4:10,19
Genesis 4:11,21
Genesis 4:12,25
Genesis 4:13,14
Genesis 4:14,49
Genesis 4:15,32
Genesis 4:16,22
Genesis 4:17,30
Genesis 4:18,18
Genesis 4:19,21
Genesis 4:20,20
Genesis 4:21,19
Genesis 4:22,22
Genesis 4:23,36
Genesis 4:24,11
Genesis 4:25,31
Genesis 4:26,28
Genesis 5:1,24
Genesis 5:2,21
Genesis 5:3,24
Genesis 5:4,20
Genesis 5:5,16
Genesis 5:6,11
Genesis 5:7,17
Genesis 5:8,15
Genesis 5:9,8
Genesis 5:10,17
Genesis 5:11,15
Genesis 5:12,8
Genesis 5:13,17
Genesis 5:14,15
Genesis 5:15,10
Genesis 5:16,17
Genesis 5:17,16
Genesis 5:18,13
Genesis 5:19,15
Genesis 5:20,16
Genesis 5:21,10
Genesis 5:22,17
Genesis 5:23,13
Genesis 5:24,13
Genesis 5:25,12
Genesis 5:26,18
Genesis 5:27,16
Genesis 5:28,13
Genesis 5:29,29
Genesis 5:30,18
Genesis 5:31,16
Genesis 5:32,14
Genesis 6:1,22
Genesis 6:2,24
Genesis 6:3,28
Genesis 6:4,43
Genesis 6:5,27
Genesis 6:6,20
Genesis 6:7,41
Genesis 6:8,10
Genesis 6:9,21
Genesis 6:10,9
Genesis 6:11,14
Genesis 6:12,21
Genesis 6:13,32
Genesis 6:14,23
Genesis 6:15,34
Genesis 6:16,40
Genesis 6:17,37
Genesis 6:18,28
Genesis 6:19,30
Genesis 6:20,33
Genesis 6:21,29
Genesis 6:22,13
Genesis 7:1,26
Genesis 7:2,30
Genesis 7:3,24
Genesis 7:4,37
Genesis 7:5,11
Genesis 7:6,16
Genesis 7:7,26
Genesis 7:8,22
Genesis 7:9,21
Genesis 7:10,18
Genesis 7:11,38
Genesis 7:12,12
Genesis 7:13,31
Genesis 7:14,37
Genesis 7:15,21
Genesis 7:16,24
Genesis 7:17,26
Genesis 7:18,21
Genesis 7:19,21
Genesis 7:20,12
Genesis 7:21,31
Genesis 7:22,18
Genesis 7:23,49
Genesis 7:24,12
Genesis 8:1,33
Genesis 8:2,20
Genesis 8:3,23
Genesis 8:4,20
Genesis 8:5,27
Genesis 8:6,23
Genesis 8:7,22
Genesis 8:8,22
Genesis 8:9,49
Genesis 8:10,18
Genesis 8:11,33
Genesis 8:12,20
Genesis 8:13,50
Genesis 8:14,18
Genesis 8:15,6
Genesis 8:16,18
Genesis 8:17,46
Genesis 8:18,16
Genesis 8:19,23
Genesis 8:20,26
Genesis 8:21,51
Genesis 8:22,22
Genesis 9:1,19
Genesis 9:2,46
Genesis 9:3,21
Genesis 9:4,15
Genesis 9:5,40
Genesis 9:6,20
Genesis 9:7,16
Genesis 9:8,12
Genesis 9:9,15
Genesis 9:10,38
Genesis 9:11,35
Genesis 9:12,28
Genesis 9:13,23
Genesis 9:14,23
Genesis 9:15,32
Genesis 9:16,35
Genesis 9:17,26
Genesis 9:18,24
Genesis 9:19,15
Genesis 9:20,12
Genesis 9:21,16
Genesis 9:22,18
Genesis 9:23,36
Genesis 9:24,16
Genesis 9:25,16
Genesis 9:26,16
Genesis 9:27,19
Genesis 9:28,11
Genesis 9:29,15
Genesis 10:1,23
Genesis 10:2,17
Genesis 10:3,10
Genesis 10:4,11
Genesis 10:5,23
Genesis 10:6,12
Genesis 10:7,22
Genesis 10:8,14
Genesis 10:9,21
Genesis 10:10,19
Genesis 10:11,16
Genesis 10:12,12
Genesis 10:13,10
Genesis 10:14,11
Genesis 10:15,8
Genesis 10:16,9
Genesis 10:17,9
Genesis 10:18,19
Genesis 10:19,30
Genesis 10:20,19
Genesis 10:21,23
Genesis 10:22,13
Genesis 10:23,12
Genesis 10:24,8
Genesis 10:25,27
Genesis 10:26,10
Genesis 10:27,6
Genesis 10:28,6
Genesis 10:29,13
Genesis 10:30,16
Genesis 10:31,18
Genesis 10:32,28
Genesis 11:1,12
Genesis 11:2,25
Genesis 11:3,28
Genesis 11:4,39
Genesis 11:5,18
Genesis 11:6,35
Genesis 11:7,19
Genesis 11:8,23
Genesis 11:9,36
Genesis 11:10,20
Genesis 11:11,15
Genesis 11:12,10
Genesis 11:13,17
Genesis 11:14,8
Genesis 11:15,17
Genesis 11:16,10
Genesis 11:17,17
Genesis 11:18,8
Genesis 11:19,17
Genesis 11:20,10
Genesis 11:21,17
Genesis 11:22,8
Genesis 11:23,15
Genesis 11:24,10
Genesis 11:25,17
Genesis 11:26,11
Genesis 11:27,17
Genesis 11:28,18
Genesis 11:29,34
Genesis 11:30,8
Genesis 11:31,51
Genesis 11:32,16
Genesis 12:1,30
Genesis 12:2,25
Genesis 12:3,25
Genesis 12:4,29
Genesis 12:5,47
Genesis 12:6,24
Genesis 12:7,29
Genesis 12:8,44
Genesis 12:9,9
Genesis 12:10,25
Genesis 12:11,34
Genesis 12:12,31
Genesis 12:13,26
Genesis 12:14,22
Genesis 12:15,20
Genesis 12:16,26
Genesis 12:17,16
Genesis 12:18,26
Genesis 12:19,28
Genesis 12:20,20
Genesis 13:1,23
Genesis 13:2,12
Genesis 13:3,27
Genesis 13:4,24
Genesis 13:5,13
Genesis 13:6,26
Genesis 13:7,28
Genesis 13:8,28
Genesis 13:9,43
Genesis 13:10,44
Genesis 13:11,22
Genesis 13:12,22
Genesis 13:13,13
Genesis 13:14,33
Genesis 13:15,19
Genesis 13:16,31
Genesis 13:17,23
Genesis 13:18,26
Genesis 14:1,26
Genesis 14:2,32
Genesis 14:3,15
Genesis 14:4,12
Genesis 14:5,32
Genesis 14:6,14
Genesis 14:7,26
Genesis 14:8,43
Genesis 14:9,26
Genesis 14:10,28
Genesis 14:11,18
Genesis 14:12,16
Genesis 14:13,35
Genesis 14:14,29
Genesis 14:15,28
Genesis 14:16,24
Genesis 14:17,36
Genesis 14:18,20
Genesis 14:19,19
Genesis 14:20,22
Genesis 14:21,18
Genesis 14:22,27
Genesis 14:23,32
Genesis 14:24,28
Genesis 15:1,27
Genesis 15:2,25
Genesis 15:3,21
Genesis 15:4,32
Genesis 15:5,33
Genesis 15:6,14
Genesis 15:7,26
Genesis 15:8,14
Genesis 15:9,35
Genesis 15:10,26
Genesis 15:11,13
Genesis 15:12,23
Genesis 15:13,35
Genesis 15:14,20
Genesis 15:15,18
Genesis 15:16,20
Genesis 15:17,28
Genesis 15:18,32
Genesis 15:19,8
Genesis 15:20,9
Genesis 15:21,12
Genesis 16:1,19
Genesis 16:2,40
Genesis 16:3,32
Genesis 16:4,24
Genesis 16:5,39
Genesis 16:6,31
Genesis 16:7,24
Genesis 16:8,26
Genesis 16:9,19
Genesis 16:10,23
Genesis 16:11,32
Genesis 16:12,31
Genesis 16:13,29
Genesis 16:14,13
Genesis 16:15,16
Genesis 16:16,14
Genesis 17:1,30
Genesis 17:2,15
Genesis 17:3,12
